,Author,Year,Journal,Title,Abstract,DOI,exclude_duplicate_study,Link,Extracted by,Included,Reason for exclusion,Animal model,Species,Strain,Sex,Age,Tested drug(s),Comparator,Outcome,Total number of animals,Treatment regimen,EAE_1_drug_mean,EAE_1_drug_n,EAE_1_drug_var,EAE_1_con_mean,EAE_1_con_n,EAE_1_con_var,EAE_1_data_type,MRI_1_drug_mean,MRI_1_drug_n,MRI_1_drug_var,MRI_1_con_mean,MRI_1_con_n,MRI_1_con_var,MRI_1_data_type,MRI Outcome...36,Comment,Tested drug 2,Outcome drug 2,Treatment regimen drug 2...67,EAE_2_drug_mean,EAE_2_drug_n,EAE_2_drug_var,EAE_2_con_mean,EAE_2_con_n,EAE_2_con_var,EAE_2_data_type,...75,Tested drug 3,Treatment regimen drug 2...77,EAE_3_drug_mean,EAE_3_drug_n,EAE_3_drug_var,EAE_3_con_mean,EAE_3_con_n,EAE_3_con_var,EAE_3_data_type,...85,MRI_2_drug_mean,MRI_2_drug_n,MRI_2_drug_var,MRI_2_con_mean,MRI_2_con_n,MRI_2_con_var,MRI_2_data_type,MRI Outcome...93,...94,MRI_3_drug_mean,MRI_3_drug_n,MRI_3_drug_var,MRI_3_con_mean,MRI_3_con_n,MRI_3_con_var,MRI_3_data_type,MRI Outcome...102,MRI_4_drug_mean,MRI_4_drug_n,MRI_4_drug_var,MRI_4_con_mean,MRI_4_con_n,MRI_4_con_var,MRI_4_data_type,MRI Outcome...110,Species_in_study,status,status2
1,"Abdurasulova, I. N. and Ermolenko, E. I. and Matsulevich, A. V. and Abdurasulova, K. O. and Tarasova, E. A. and Kudryavtsev, I. V. and Bisaga, G. N. and Suvorov, A. N. and Klimenko, V. M.",2017,Neuroscience and Behavioral Physiology,Effects of Probiotic Enterococci and Glatiramer Acetate on the Severity of Experimental Allergic Encephalomyelitis in Rats,"The intestinal microbiota is currently regarded as a potential target for treatments in many pathologies underlying the genesis of inflammation, autoimmune reactions, and neurodegeneration. Multiple sclerosis (MS) is a disease whose pathogenesis combines all these processes. MS also involves impairment to the balance between the components of the intestinal microbiota, with development of dysbiosis. Various probiotics are widely used to correct dysbiotic conditions <e2><80><93> bacteria with proven useful properties. We report here the use of a model of multiple sclerosis <e2><80><93> experimental allergic encephalomyelitis (EAE) <e2><80><93> to study the ability of the probiotic Enterococcus faecium strain L-3 to decrease disease severity in rats when used alone and in combination with glatiramer acetate (GA). Administration of E. faecium L-3 was found to decrease the severity of EAE in rats to essentially the same extent as GA. However, simultaneous use of probiotic enterococci with GA produced no protective action. It is suggested that these agents stimulate different components of the immune system, as their actions produce increases in different populations of immune cells circulating in the blood. The study results demonstrate the ability of E. faecium L-3 to produce significant direct and indirect (via correction of dysbacteriosis) influences on the immune system in MS, which allows these bacteria to be regarded as a potential agent for immunocorrection in autoimmune, inflammatory, and neurodegenerative disease.",10.1007/s11055-017-0484-1,no,NA,"IEB, WZ, PH",1,NA,EAE,rat,Wistar,male,NA,Glatiramer acetate,control,1,90,1,2,20,0.3,3.7,30,0.5,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Marketed,NA
2,"Abdurasulova, I. N. and Matsulevich, A. V. and Tarasova, E. A. and Kudryavtsev, I. V. and Serebrjakova, M. K. and Ermolenko, E. I. and Bisaga, G. N. and Klimenko, V. M. and Suvorov, A. N.",2016,Benef Microbes,Enterococcus faecium strain L-3 and glatiramer acetate ameliorate experimental allergic encephalomyelitis in rats by affecting different populations of immune cells,"The effect of probiotic Enterococcus faecium strain L-3 was studied in rats with experimental allergic encephalomyelitis (EAE). Glatiramer acetate (GA) was used as control drug. E. faecium strain L-3 and GA both were able to reduce the severity of EAE in a similar fashion. Both approaches increased the proportion of EAE resistant rats and rats with mild disease, prolonged the inductive phase of EAE and reduced the disease duration. Study of the phenotypes of immune cells in blood revealed the differences in immunoregulatory pathways that mediate the protective action of probiotic or GA treatment of EAE. The presence of pronounced protective and immunomodulating effects of the probiotic E. faecium strain L-3 opens an opportunity of its application for the treatment of multiple sclerosis.",10.3920/bm2016.0018,no,NA,"IEB, WZ, PH",1,NA,EAE,rat,Wistar,female,12,Glatiramer acetate,control,1,122,1,1.7,35,0.2,3.4,26,0.5,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Marketed,NA
3,"Abtahi Froushani, S. M. and Delirezh, N. and Hobbenaghi, R. and Mosayebi, G.",2014,Immunol Invest,Synergistic effects of atorvastatin and all-trans retinoic acid in ameliorating animal model of multiple sclerosis,"One suitable approach to enhancing multiple sclerosis (MS) treatment is combination of available medications to provide more desirable outcomes. Immunomodulatory effects of atorvastatin and/or all-trans retinoic acid (ATRA) were determined in previous studies. The present study was set out to investigate the synergistic effects of combination therapy by suboptimal doses of atorvastatin and ATRA in experimental autoimmune encephalomyelitis (EAE), an animal model of MS. EAE was induced by MOG35-55 in female C57BL/6 mice. Therapies were initiated at day 12 post immunization when the mice developed a disability score and continued throughout the study until the day 33 when animals were sacrificed. Therapeutic treatment with half doses of atorvastatin and ATRA in combination has synergistic benefits causing the regression of clinical and neuropathological features of EAE more favorable than treatment with full doses of either drug alone. Without any advantage in anti-proliferative effect, combination treatment significantly reduced the secretion of pro-inflammatory cytokine interleukin-17 and conversely, increased the production of anti-inflammatory cytokine interleukin-10 more prominent than either drug alone. Furthermore, FoxP3+Treg cells were significantly increased only in combination treatment. In conclusion, combined atorvastatin and ATRA have immunomodulatory synergistic benefits and this pharmacological approach may be as a useful strategy to control MS.",10.3109/08820139.2013.825269,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,7,Atorvastatin,control,1,NA,2,3.2,7,0.2,4.8,7,0.35,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
4,"Acharjee, S. and Verbeek, M. and Gomez, C. D. and Bisht, K. and Lee, B. and Benoit, L. and Sharkey, K. A. and Benediktsson, A. and Tremblay, M. E. and Pittman, Q. J.",2018,J Neurosci,Reduced Microglial Activity and Enhanced Glutamate Transmission in the Basolateral Amygdala in Early CNS Autoimmunity,"Emotional dysfunction is common in multiple sclerosis (MS) patients and in mouse models of MS, including experimental autoimmune encephalomyelitis (EAE); however, the etiology of these behaviors is poorly understood. To identify CNS changes associated with these behaviors, we focused on the basolateral amygdala (BLA) because of its central role in the regulation of emotional behavior. Whole-cell recordings were performed in the principal neurons of the BLA in early EAE, before demyelination, T-cell invasion, and motor dysfunction. EAE female mice displayed increased frequency of mEPSCs, with no alteration in amplitude or evoked EPSC paired-pulse ratio compared with controls. We found an increase in the AMPA-NMDA ratio and dendritic spine density, indicating increased numbers of glutamatergic synapses. We saw similar electrophysiological changes in BLA principal neurons after microglia were either inactivated (minocycline) or depleted (Mac1-Saporin) in the BLA. Microglia regulate synapses through pruning, directed by complement protein 3 (C3) expression. C3 was downregulated in the BLA in EAE. Ultrastructural analysis of microglia revealed more complex ramifications and reduced extracellular digestion of cellular elements. We also observed reduced IBA-1 and CD68 staining and lack of proinflammatory cytokine expression in the amygdala. Thus, early EAE is a state of microglial ""deactivation"" associated with reduced synaptic pruning. This contrasts with the prototypic microglial activation commonly associated with inflammatory CNS disease. Additionally, these data support a role for the acquired immune system to influence both neuronal and microglial function in early CNS autoimmunity.SIGNIFICANCE STATEMENT Microglia help regulate synaptic homeostasis, but there has been little evidence for how this might be important in neuroinflammatory diseases. The data from this study reveal increased synaptic activity and spine density in early stages of experimental autoimmune encephalomyelitis (an animal model of multiple sclerosis) in the basolateral amygdala, a nucleus important in the types of behavioral changes we have previously described. These electrophysiological and morphological effects occurred without significant elevation of local inflammatory cytokines or local demyelination. Unexpectedly, in the context of inflammatory state, we found that microglia were ""deactivated."" This study provides strong evidence for a link between microglial activity and synaptic function; the conclusions contrast with the generally accepted view that microglia are activated in inflammatory disease.",10.1523/jneurosci.0398-18.2018,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,9,Minocycline,control,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
5,"Adegoke, A. O. and Lin, J. and Anderson, C. C.",2022,Curr Res Immunol,Loss of thymic function promotes EAE relapse in anti-CD52-treated mice,"Anti-CD52 treatment creates a long-lasting CD4 T cell lymphopenia and reduces multiple sclerosis (MS) relapses in humans. In contrast, anti-CD52 therapy at disease onset more fully suppresses experimental autoimmune encephalomyelitis (EAE) in mice, and T cell repopulation is rapid. To test whether prolonged T cell lymphopenia promotes relapses, we thymectomized mice prior to EAE induction and anti-CD52 treatment. Thymectomy greatly reduced the number of recent thymic emigrant T cells and was associated with a prolonged reduction in CD4 T cells in peripheral blood. Two-thirds of thymectomized C57BL/6 mice had an EAE relapse post anti-CD52 treatment, while no surgery and sham surgery euthymic controls remained relapse-free. These data demonstrate that thymus function can alter the effectiveness of anti-CD52 treatment.",10.1016/j.crimmu.2022.03.001,no,NA,IEB,1,NA,EAE,mouse,C57BL/6 Foxp3-GFP,both,9,Alemtuzumab,control,1,NA,2,0.125,4,0.25,1.875,4,0.854,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
6,"Adzemovic, M. Z. and Zeitelhofer, M. and Hochmeister, S. and Gustafsson, S. A. and Jagodic, M.",2013,Exp Neurol,Efficacy of vitamin D in treating multiple sclerosis-like neuroinflammation depends on developmental stage,"The association of vitamin D deficiency with higher prevalence, relapse rate and progression of multiple sclerosis (MS) has stimulated great interest in using vitamin D supplementation as a preventative measure and even a therapy for established MS. However, there is a considerable lack of evidence when it comes to an age/developmental stage-dependent efficacy of vitamin D action and a time-window for the most effective prophylactic treatment remains unclear. We studied the effect of vitamin D supplementation in myelin oligodendrocyte glycoprotein (MOG)-induced experimental autoimmune encephalomyelitis (EAE), an animal model of MS, at three different developmental stages in rats. Supplementation treatment was initiated: i) prior to gestation and maintained throughout pre- and early postnatal development (gestation and lactation); ii) after weaning, throughout juvenile/adolescence period and iii) in adult age. We observed a marked attenuation of EAE in juvenile/adolescent rats reflected in a less severe CNS inflammation and demyelination, accompanied by a lower amount of IFN-<ce><b3> producing MOG-specific T cells. Moreover, the cytokine expression pattern in these rats reflected a more anti-inflammatory phenotype of their peripheral immune response. However, the same supplementation regimen failed to improve the disease outcome both in adult rats and in rats treated during pre- and early post-natal development. Our data demonstrate a developmental stage-dependent efficiency of vitamin D to ameliorate neuroinflammation, suggesting that childhood and adolescence should be the target for the most effective preventive treatment.",10.1016/j.expneurol.2013.08.002,no,NA,IEB,1,NA,EAE,rat,Dark Agouti,female,3,Vitamin D3,control,1,163,0,0.9,25,0.2,2.1,10,0.4,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"difference between drug vs control at different age of animals. significant difference found in juvenile/adolescent mice, but not in adult or pre- and early post-natal (juvenile/adolescent animal values used here)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Failed,NA
7,"Agasing, A. M. and Gawde, S. and Kumar, G. and Turner, E. and Axtell, R. C.",2020,J Neuroimmunol,B cell function impacts the efficacy of IFN-Î² therapy in EAE,"Recent studies identified that interferon beta (IFN-<ce><b2>) treatment skews B-cells towards a regulatory phenotype in multiple sclerosis. To assess B cell involvement during IFN-<ce><b2> therapy, we compared IFN-<ce><b2> treatment in a B cell-independent model and a B cell-dependent model of experimental autoimmune encephalomyelitis (EAE). We show that in B cell-independent EAE, IFN-<ce><b2> ameliorates neuroinflammation. Conversely, in B cell-dependent EAE, IFN-<ce><b2> has no effect on disease. Effective IFN-<ce><b2> therapy in B cell-independent EAE was associated with reduced inflammatory T cells in the CNS and skewed splenic B cells towards an immature population and away from a germinal center population. These immune cell populations were unchanged in B cell-dependent EAE. Finally, we found that IFN-<ce><b2> increased marginal zone B cells in both EAE models. These findings indicate that B cell function impacts IFN-<ce><b2> efficacy during neuroinflammation.",10.1016/j.jneuroim.2019.577106,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,9,Interferon Beta 1,control,1,NA,1,1.5,25,0.25,2.6,25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,two different EAE types used --> scores shown here are from the one with the larger effect size (rpMOG-EAE); treatment regimen: prophylactic (assuming that onset of eae symptoms is after day 6 post-immunization),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
8,"Ahangar-Parvin, R. and Mohammadi-Kordkhayli, M. and Azizi, S. V. and Nemati, M. and Khorramdelazad, H. and Taghipour, Z. and Hassan, Z. and Moazzeni, S. M. and Jafarzadeh, A.",2018,Iran J Pathol,The Modulatory Effects of Vitamin D on the Expression of IL-12 and TGF-Î² in the Spinal Cord and Serum of Mice with Experimental Autoimmune Encephalomyelitis,"BACKGROUND & OBJECTIVE: The immunoregulatory effects of transforming growth factor (TGF)-<ce><b2>and interleukin-12 (IL-12) and immunomodulatory actions of vitamin D (VD) were reported in several studies. This study aims to evaluate VD effects on IL-12 and TGF-<ce><b2> expression in experimental autoimmune encephalomyelitis (EAE). METHODS: EAE was induced in three groups of C57BL/6 mice by immunization with MOG and administered intra-peritoneally 200 ngVD, PBS or olive oil (OO) from day +3 to +30. One group was also considered as healthy control group. At day 31, cytokines expression in the spinal cord and their serum levels were determined using real time-PCR and ELISA, respectively. RESULTS: IL-12 gene expression and its serum levels in PBS-injected- or OO-administrated EAE groups were significantly higher than healthy group. IL-12 gene expression in EAE group treated with VD was significantly decreased compared to PBS-injected- or OO-administrated EAE groups (P<0.001 and P<0.02, respectively). Serum IL-12 levels were significantly reduced in VD-treated EAE mice compared to PBS-injected- or OO-administrated EAE groups (P<0.004 and P<0.05, respectively). No significant difference was observed between PBS-injected-EAE, OO-administrated EAE and healthy groups regarding the expression of TGF-<ce><b2>. In EAE mice treated with VD, TGF-<ce><b2> expression was significantly higher than healthy group and PBS-injected EAE mice (P<0.01 and P<0.04, respectively). VD-treated EAE group had also higher serum TGF-<ce><b2> levels than PBS-injected-, OO-administrated and healthy groups (P<0.05). CONCLUSION: VD modulates the expression of IL-12 and TGF-<ce><b2> in spinal cord and serum of EAE mice.",NA,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,7,Vitamin D3,control,1,24,1,2,6,0.3,4.25,6,0.4,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,no DOI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
9,"Aharoni, R. and Arnon, R. and Eilam, R.",2005,J Neurosci,Neurogenesis and neuroprotection induced by peripheral immunomodulatory treatment of experimental autoimmune encephalomyelitis,"Brain insults such as the autoimmune inflammatory process in multiple sclerosis (MS) and experimental autoimmune encephalomyelitis (EAE) induce a measure of neurogenesis, but its regenerative therapeutic consequence is limited, because it fails to regenerate functional neurons and compensate the damage. Here, we investigated whether peripheral immunomodulatory treatment for MS/EAE, glatiramer acetate (GA), can enhance neurogenesis and generate neuroprotection in the CNS of EAE-inflicted mice. EAE was induced by myelin oligodendrocyte glycoprotein peptide, either in yellow fluorescent protein (YFP) 2.2 transgenic mice, which selectively express YFP on their neuronal population, or in C57BL/6 mice. The in situ effect of GA was studied in various brain regions; neuroprotection and neurogeneration were evaluated and quantified by measuring the expression of different neuronal antigens and in vivo proliferation markers. The results demonstrated that in EAE-inflicted mice, neuroproliferation was initially elevated after disease appearance but subsequently declined below that of naive mice. In contrast, GA treatment in various stages of the disease led to sustained reduction in the neuronal/axonal damage typical to the neurodegenerative disease course. Moreover, three processes characteristic of neurogenesis, namely cell proliferation, migration, and differentiation, were augmented and extended by GA treatment in EAE mice compared with EAE-untreated mice and naive controls. The newborn neuroprogenitors manifested massive migration through exciting and dormant migration pathways, into injury sites in brain regions, which do not normally undergo neurogenesis, and differentiated to mature neuronal phenotype. This suggests a direct linkage between immunomodulation, neurogenesis, and an in situ therapeutic consequence in the CNS.",10.1523/jneurosci.1859-05.2005,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,9,Glatiramer acetate,control,1,NA,"1,2",0.25,6,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
10,"Aharoni, R. and Eilam, R. and Domev, H. and Labunskay, G. and Sela, M. and Arnon, R.",2005,Proc Natl Acad Sci U S A,The immunomodulator glatiramer acetate augments the expression of neurotrophic factors in brains of experimental autoimmune encephalomyelitis mice,"Neurotrophins (NTs) such as BDNF, NT-3, and NT-4 are important modulators of neuronal function and survival. Their expression in the CNS after various insults is thus of major therapeutic consequence. Glatiramer acetate [(GA) Copaxone], an approved drug for the treatment of multiple sclerosis, has been shown to induce Th2/3 cells that accumulate in the CNS, expressing in situ antiinflammatory cytokines and BDNF. In the present study, we investigated whether s.c. injections of GA, applied at various stages of experimental autoimmune encephalomyelitis, affect the expression of NTs, particularly BDNF, in the brain. In untreated experimental autoimmune encephalomyelitis mice, the expression of NTs was elevated shortly after disease appearance but subsequently declined below that of naive mice. In contrast, GA treatment led to sustained augmentation in the expression of BDNF, NT-3, and NT-4 in various brain regions as demonstrated by histological analysis of immunostained brain sections. GA treatment, even when started 45 days after disease induction, restored the impaired level of NTs to that of healthy mice. BDNF elevation after GA treatment was demonstrated on both protein and mRNA levels. Prominent staining was manifested not only by infiltrating GA-induced T cells, but also by CNS resident cells (neurons and astrocytes), indicative of a bystander therapeutic effect. Of importance, in GA-treated mice, intense BDNF expression was manifested by neuronal progenitors that migrated into lesions in injured regions. These results indicate that the immunomodulator GA exerts not only an antiinflammatory effect, but also enhances neuroprotection and regeneration of neural elements in the diseased brain.",10.1073/pnas.0509438102,no,NA,IEB,1,NA,EAE,mouse,"C57BL/6, (SJLxBALB/c)F1",female,10,Glatiramer acetate,control,1,NA,"1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two strains listed, since no clinical scores or MRI data included (for other papers only the strain listed which was used for clinical score / MRI data presented here)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
