"","subset_sensitivity","DOI","Column1","Author","Year.x","Journal","Title","Abstract","exclude_duplicate_study","Link","Extracted.by","Included","Reason.for.exclusion","Animal.model","Species","Strain","Sex.x","Age","Tested.drug.s.","Comparator","Outcome","Total.number.of.animals","Treatment.regimen","EAE_1_drug_mean","EAE_1_drug_n","EAE_1_drug_var","EAE_1_con_mean","EAE_1_con_n","EAE_1_con_var","EAE_1_data_type","MRI_1_drug_mean","MRI_1_drug_n","MRI_1_drug_var","MRI_1_con_mean","MRI_1_con_n","MRI_1_con_var","MRI_1_data_type","MRI.Outcome...36","Comment","Tested.drug.2","Outcome.drug.2","Treatment.regimen.drug.2...67","EAE_2_drug_mean","EAE_2_drug_n","EAE_2_drug_var","EAE_2_con_mean","EAE_2_con_n","EAE_2_con_var","EAE_2_data_type","...75","Tested.drug.3","Treatment.regimen.drug.2...77","EAE_3_drug_mean","EAE_3_drug_n","EAE_3_drug_var","EAE_3_con_mean","EAE_3_con_n","EAE_3_con_var","EAE_3_data_type","...85","MRI_2_drug_mean","MRI_2_drug_n","MRI_2_drug_var","MRI_2_con_mean","MRI_2_con_n","MRI_2_con_var","MRI_2_data_type","MRI.Outcome...93","...94","MRI_3_drug_mean","MRI_3_drug_n","MRI_3_drug_var","MRI_3_con_mean","MRI_3_con_n","MRI_3_con_var","MRI_3_data_type","MRI.Outcome...102","MRI_4_drug_mean","MRI_4_drug_n","MRI_4_drug_var","MRI_4_con_mean","MRI_4_con_n","MRI_4_con_var","MRI_4_data_type","MRI.Outcome...110","Species_in_study","status","status2","SYRCLE_allocation","SYRCLE_baselinegroups","SYRCLE_allocationconcealment","SYRCLE_randomhousing","SYRCLE_blindingcaregiver","SYRCLE_randomassessment","SYRCLE_blindingassessor","SYRCLE_incompleteoutcome","SYRCLE_selectivereporting","SYRCLE_other","First.author","Year.y","Paper.title","Model.1","Model.count.1","Model.2","Model.count.2","Species.1","Species.count.1","Species.2","Species.count.2","Sex.y","Outcome.histology","Outcome.behaviour","Outcome.imaging","Randomization","Randomization_QC","Blinding","Blinding_QC","Welfare","Welfare_QC","Conflict","Conflict_QC","Samplesize","Sample_QC","ARRIVE","ARRIVE_QC","Data_availability_statement","doi","email","Abstract.start","Introduction.start","Methods.start","Results.start","Discussion.start","Methods.range","Paper.range"
"1","rand","101002jmri20057",352,"Rausch, M. and Hiestand, P. and Foster, C. A. and Baumann, D. R. and Cannet, C. and Rudin, M.",2004,"J Magn Reson Imaging","Predictability of FTY720 efficacy in experimental autoimmune encephalomyelitis by in vivo macrophage tracking: clinical implications for ultrasmall superparamagnetic iron oxide-enhanced magnetic resonance imaging","PURPOSE: To examine the efficacy of FTY720 as a new agent to reduce inflammatory activity in an animal model of multiple sclerosis (MS) by in vivo macrophage tracking. MATERIAL AND METHODS: FTY720 was used for treatment of rats in a model of chronic relapsing experimental autoimmune encephalomyelitis (EAE) at an oral dose of 0.3 mg/kg/day. Magnetic resonance imaging (MRI) based on in vivo tracking of macrophages labeled with ultrasmall superparamagnetic iron oxide (USPIO) nanoparticles, immunohistological staining (IHC), and neurological readouts was used to study the burden of disease in treated and untreated animals. RESULTS: While untreated animals showed severe paralysis of the hind paws, intense accumulation of macrophages in brain tissue, and areas of blood-brain barrier (BBB) disruption, FTY720-treated animals displayed no signs of inflammatory activity or neurological impairment. These observations were made for both acute phase and first relapse. CONCLUSION: Tracking of macrophages by MRI provides direct evidence of the immunomodulatory efficacy of FTY720 in the EAE model and correlates well with neurological symptoms and histology.","no",NA,"PH",1,NA,"EAE","rat","Lewis","female",NA,"Fingolimod","control",1,37,"0,2",0.2,5,NA,1.8,5,NA,NA,0,5,NA,11,5,NA,NA,"T2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,5,0.1,0.3,15,0.11,NA,"gadolinium",NA,0.04,5,0.09,0.2,15,0.03,NA,"gadolinium",-0.07,5,0.04,0.14,15,0.03,NA,"gadolinium","rat","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","9","not reported","0","rat","15","mouse","2","female","histology","behaviour","imaging","yes","No manual check required","not reported","No manual check required","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","10.1002/jmri.20057","martin.rausch@pharma.novartis.com","1","1","164","324","427","164 - 427","1 - 766"
"2","rand","1010070000501704586",250,"Lubina-D<c4><85>browska, N. and Stepie<c5><84>, A. and Sulkowski, G. and D<c4><85>browska-Bouta, B. and Langfort, J. and Chalimoniuk, M.",2017,"Arch Immunol Ther Exp (Warsz)","Effects of IFN-ÃŽÂ²1a and IFN-ÃŽÂ²1b treatment on the expression of cytokines, inducible NOS (NOS type II), and myelin proteins in animal model of multiple sclerosis","The aim of this study was to investigate the effects of interferon (IFN)-<ce><b2>1a and IFN-<ce><b2>1b treatment on inflammatory factors and myelin protein levels in the brain cortex of the Lewis rat experimental autoimmune encephalomyelitis (EAE), animal model of multiple sclerosis. To induce EAE, rat were immunized with inoculums containing spinal cord guinea pig homogenized in phosphate-buffered saline and emulsified in Freund's complete adjuvant containing 110<c2><a0><c2><b5>g of the appropriate antigen in 100<c2><a0><c2><b5>l of an emulsion and additionally 4-mg/ml Mycobacterium tuberculosis (H37Ra). The rats were treated three times per week with subcutaneous applications of 300,000 units IFN-<ce><b2>1a or IFN-<ce><b2>1b. The treatments were started 8 days prior to immunization and continued until day 14 after immunization. The rats were killed on the 14th day of the experiment. EAE induced dramatic increase in interleukin (IL)-1<ce><b2>, IL-6, and tumor necrosis factor (TNF)-concentrations and inducible nitric oxide synthase (iNOS) expression in the brain, which closely corresponded to the course of neurological symptoms and the loss of weight. Both IFN-<ce><b2>1b and IFN-<ce><b2>1a treatments inhibited the pro-inflammatory cytokines (IL-6, IL-1<ce><b2>, TNF-<ce><b1> and IFN-<ce><b3>), decreased the activation of astrocytes, increased the myelin protein level in the brain cortex, and improved the neurological status of EAE rats by different mechanisms; IFN-<ce><b2>1a reduced iNOS expression, at least in part, by the enhancement of IL-10, while IFN-<ce><b2>1b diminished IL-10 concentration and did not decrease EAE-induced iNOS expression.","no",NA,"WZ",1,NA,"EAE","rat","Lewis","female","8","Interferon Beta 1","control",1,60,"2",1.6,15,0.1,2.8,15,0.2,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"Interferon beta 1b wurde verwendet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","86","not reported","0","rats","71","rabbit","7","female","not reported","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported",NA,"mchalim@yahoo.com","11","63","156","137","566","156 - 566","1 - 1057"
"3","rand","1010070040100206630",138,"Garcion, E. and Sindji, L. and Nataf, S. and Brachet, P. and Darcy, F. and Montero-Menei, C. N.",2003,"Acta Neuropathol","Treatment of experimental autoimmune encephalomyelitis in rat by 1,25-dihydroxyvitamin D3 leads to early effects within the central nervous system","We report here that curative treatment of the multiple sclerosis paradigm, chronic relapsing experimental autoimmune encephalomyelitis (EAE) of the Lewis rat, by 1,25-dihydroxyvitamin D(3 )(1,25-D3) leads to a rapid clinical improvement accompanied by an inhibition of CD4, MHC class II and type II nitric oxide synthase (NOS II) expression in the posterior areas of the central nervous system (CNS). In contrast, the hormone has no effect on transforming growth factor-beta1 transcripts. Computer analysis of the NOS II promoter, expressed by microglia and astrocytes, reveals consensus sequence for vitamin D receptor binding, emphasizing the idea that 1,25-D3 may regulate some aspects of EAE by acting directly on CNS constituent cells. We also demonstrate that vitamin D deprivation leads to minimal effects on the kinetic profile of EAE accompanied by a moderate exacerbation of the clinical symptoms. Interestingly, curative treatment of vitamin D-deprived rats with a non-toxic-1,25-D3 analogue (MC1288) strongly inhibited EAE symptoms, thus promulgating the potential interest of such compounds in the management of multiple sclerosis.","no",NA,"PH",1,NA,"EAE","rat","Lewis","female","8.5","Vitamin D3","control",1,68,"2",1.5,17,1.1,2.5,11,1.1,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Failed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","46","experimental autoimmune encephalomyelitis","1","rats","31","mouse","3","female","histology","behaviour","not reported","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported",NA,"emmanuel.garcion@univ-angers.fr","12","47","132","227","416","132 - 416","1 - 802"
"4","rand","1010070040101514223",326,"Parodi, B. and Rossi, S. and Morando, S. and Cordano, C. and Bragoni, A. and Motta, C. and Usai, C. and Wipke, B. T. and Scannevin, R. H. and Mancardi, G. L. and Centonze, D. and Kerlero de Rosbo, N. and Uccelli, A.",2015,"Acta Neuropathol","Fumarates modulate microglia activation through a novel HCAR2 signaling pathway and rescue synaptic dysregulation in inflamed CNS","Dimethyl fumarate (DMF), recently approved as an oral immunomodulatory treatment for relapsing-remitting multiple sclerosis (MS), metabolizes to monomethyl fumarate (MMF) which crosses the blood-brain barrier and has demonstrated neuroprotective effects in experimental studies. We postulated that MMF exerts neuroprotective effects through modulation of microglia activation, a critical component of the neuroinflammatory cascade that occurs in neurodegenerative diseases such as MS. To ascertain our hypothesis and define the mechanistic pathways involved in the modulating effect of fumarates, we used real-time PCR and biochemical assays to assess changes in the molecular and functional phenotype of microglia, quantitative Western blotting to monitor activation of postulated pathway components, and ex vivo whole-cell patch clamp recording of excitatory post-synaptic currents in corticostriatal slices from mice with experimental autoimmune encephalomyelitis (EAE), a model for MS, to study synaptic transmission. We show that exposure to MMF switches the molecular and functional phenotype of activated microglia from classically activated, pro-inflammatory type to alternatively activated, neuroprotective one, through activation of the hydroxycarboxylic acid receptor 2 (HCAR2). We validate a downstream pathway mediated through the AMPK-Sirt1 axis resulting in deacetylation, and thereby inhibition, of NF-<ce><ba>B and, consequently, of secretion of pro-inflammatory molecules. We demonstrate through ex vivo monitoring of spontaneous glutamate-mediated excitatory post-synaptic currents of single neurons in corticostriatal slices from EAE mice that the neuroprotective effect of DMF was exerted on neurons at pre-synaptic terminals by modulating glutamate release. By exposing control slices to untreated and MMF-treated activated microglia, we confirm the modulating effect of MMF on microglia function and, thereby, its indirect neuroprotective effect at post-synaptic level. These findings, whereby DMF-induced activation of a new HCAR2-dependent pathway on microglia leads to the modulation of neuroinflammation and restores synaptic alterations occurring in EAE, represent a possible novel mechanism of action for DMF in MS.","no",NA,"PH",1,NA,"EAE","mouse","C57BL/6","female","7","Dimethyl fumarate","control",1,NA,"2",2,20,0.1,3,20,0.2,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"unclear","unclear","unclear","unclear","low","unclear","unclear","unclear","unclear","high",NA,NA,NA,"EAE","30","not reported","0","mice","38","mouse","5","female","histology","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","yes","No manual check required","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","not reported",NA,"auccelli@neurologia.unige.it","13","82","153","150","876","153 - 876","1 - 1306"
"5","rand","1010071106400691120",268,"Mazzanti, C. M. and Spanevello, R. M. and Pereira, L. B. and Gon<c3><a7>alves, J. F. and Kaizer, R. and Corr<c3><aa>a, M. and Ahmed, M. and Mazzanti, A. and Festugatto, R. and Gra<c3><a7>a, D. L. and Morsch, V. M. and Schetinger, M. R.",2006,"Neurochem Res","Acetylcholinesterase activity in rats experimentally demyelinated with ethidium bromide and treated with interferon beta","The ethidium bromide (EB) demyelinating model was associated with interferon beta (IFN-beta) to evaluate acetylcholinesterase (AChE) activity in the striatum (ST), hippocampus (HP), cerebral cortex (CC), cerebellum (CB), hypothalamus (HY), pons (PN) and synaptosomes from the CC. Rats were divided into four groups: I control (saline), II (IFN-beta), III (EB) and IV (EB and IFN-beta). After 7, 15 and 30 days rats (n = 6) were sacrificed, and the brain structures were removed for enzymatic assay. AChE activity was found to vary in all the brain structures in accordance with the day studied (7-15-30 days) (P < 0.05). In the group III, there was an inhibition of the AChE activity in the ST, CB, HY, HP and also in synaptosomes of the CC (P < 0.05). It was observed that IFN-beta per se was capable to significantly inhibit (P < 0.05) AChE activity in the ST, HP, HY and synaptosomes of the CC. Our results suggest that one of the mechanisms of action of IFN-beta is through the inhibition of AChE activity, and EB could be considered an inhibitor of AChE activity by interfering with cholinergic neurotransmission in the different brain regions.","no",NA,"WZ",1,NA,"ethidium bromide","rat","Wistar","male","11","Interferon Beta 1","control",1,72,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"ethidium bromide","1","not reported","0","rats","8","not reported","NA","male","histology","not reported","not reported","yes","No manual check required","not reported","No manual check required","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported",NA,"mariarosa@smail.ufsm.br","12","25","33","218","308","33 - 308","1 - 635"
"6","rand","1010071106400691650",328,"Pasquini, L. A. and Calatayud, C. A. and Bertone U<c3><b1>a, A. L. and Millet, V. and Pasquini, J. M. and Soto, E. F.",2007,"Neurochem Res","The neurotoxic effect of cuprizone on oligodendrocytes depends on the presence of pro-inflammatory cytokines secreted by microglia","In order to further characterize the still unknown mechanism of cuprizone-induced demyelination, we investigated its effect on rat primary oligodendroglial cell cultures. Cell viability was not significantly affected by this treatment. However, when concentrations of IFNgamma and/or TNFalpha having no deleterious effects per se on cell viability were added together with cuprizone, cell viability decreased significantly. In mitochondria isolated from cuprizone-treated glial cells, we observed a marked decrease in the activities of the various complexes of the respiratory chain, indicating a disruption of mitochondrial function. An enhancement in oxidant production was also observed in cuprizone and/or TNFalpha-treated oligodendroglial cells. In in vivo experiments, inhibition of microglial activation with minocycline prevented cuprizone-induced demyelination. Based on the above-mentioned results we suggest that these microglial cells appear to have a very active role in cuprizone-induced oligodendroglial cell death and demyelination, through the production and secretion of pro-inflammatory cytokines.","no",NA,"PH",1,NA,"cuprizone","rat","Wistar","male","8","Minocycline","control",1,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Failed",NA,"","","","","","","","","","",NA,NA,NA,"cuprizone","11","lipopolysaccharide","1","mice","9","mouse","2","not reported","histology","not reported","not reported","yes","No manual check required","not reported","No manual check required","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported",NA,"edufsoto@mail.retina.ar","12","44","1019","72","592","692 - 1019","1 - 1121"
"7","rand","1010071336501705708",146,"Gilli, F. and Li, L. and Royce, D. B. and DiSano, K. D. and Pachner, A. R.",2017,"J Neurovirol","Treatment of Theiler's virus-induced demyelinating disease with teriflunomide","Teriflunomide is an oral therapy approved for the treatment of relapsing remitting multiple sclerosis (MS), showing both anti-inflammatory and antiviral properties. Currently, it is uncertain whether one or both of these properties may explain teriflunomide's beneficial effect in MS. Thus, to learn more about its mechanisms of action, we evaluated the effect of teriflunomide in the Theiler's encephalomyelitis virus-induced demyelinating disease (TMEV-IDD) model, which is both a viral infection and an excellent model of the progressive disability of MS. We assessed the effects of the treatment on central nervous system (CNS) viral load, intrathecal immune response, and progressive neurological disability in mice intracranially infected with TMEV. In the TMEV-IDD model, we showed that teriflunomide has both anti-inflammatory and antiviral properties, but there seemed to be no impact on disability progression and intrathecal antibody production. Notably, benefits in TMEV-IDD were mostly mediated by effects on various cytokines produced in the CNS. Perhaps the most interesting result of the study has been teriflunomide's antiviral activity in the CNS, indicating it may have a role as an antiviral prophylactic and therapeutic compound for CNS viral infections.","no",NA,"PH",1,NA,"TMEV-IDD","mouse","SJL","female","6","Teriflunomide","control",1,115,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"TMEV","83","not reported","0","mice","68","mouse","8","female","not reported","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","No manual check required","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","not reported",NA,"francesca.gilli@dartmouth.edu","9","46","97","206","722","97 - 722","1 - 1187"
"8","rand","10100740120023004874",481,"M. Bigaud; P. Ramseier; S. Tisserand; M. Lang; B. Urban; C. Beerli; G. Karlsson",2023,"Neurol Ther","Central Versus Peripheral Drug Exposure Ratio, a Key Differentiator for Siponimod Over Fingolimod?","INTRODUCTION: Siponimod, a potent and selective sphingosine-1-phosphate (S1P(1,5)) agonist, is the only therapeutic agent that has shown efficacy against disability progression, decline in cognitive processing speed, total brain volume loss, gray matter atrophy and signs of demyelination in patients with secondary progressive multiple sclerosis (SPMS). Although the pathophysiology of progression in SPMS and primary progressive MS (PPMS) is thought to be similar, fingolimod, the prototype S1P(1,3,45) agonist, failed to show efficacy against disability progression in PPMS. Differentiating siponimod from fingolimod at the level of their central effects is believed to be the key to a better understanding of the underlying characteristics that could make siponimod uniquely efficacious in progressive MS (PMS). METHODS: Here, we compared the central vs. peripheral dose-dependent drug exposures for siponimod and fingolimod in healthy mice and mice with experimental autoimmune encephalomyelitis (EAE). RESULTS: Siponimod treatment achieved dose-dependent efficacy and dose-proportional increases in steady-state drug blood levels, with a central nervous system (CNS)/blood drug-exposure ratio ((CNS/blood)DER) of ~ 6 in both healthy and EAE mice. In contrast, fingolimod treatments achieved dose-proportional increases in fingolimod and fingolimod-phosphate blood levels, with respective (CNS/blood)DER that were markedly increased (≥ threefold) in EAE vs. healthy mice. CONCLUSION: If proven to have translational value, these observations would suggest that (CNS/blood)DER may be a key differentiator for siponimod over fingolimod for clinical efficacy in PMS.","no",NA,"BVI",1,NA,"EAE","mouse","C57BL/6","female",NA,"Fingolimod","control",1,96,"1",0.65,10,0.4,2.4,10,0.25,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siponimod",1,"1",0.35,10,0.25,2.4,10,0.25,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marketed","Marketed","","","","","","","","","","",NA,"2011",NA,"EAE","30","not reported","0","mice","47","mouse","7","female","not reported","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes",NA,"marc.bigaud@novartis.com","10","11","202","44","758","202 - 758","1 - 1314"
"9","rand","101016016557280200098x",127,"Floris, S. and Ruuls, S. R. and Wierinckx, A. and van der Pol, S. M. and D<c3><b6>pp, E. and van der Meide, P. H. and Dijkstra, C. D. and De Vries, H. E.",2002,"J Neuroimmunol","Interferon-beta directly influences monocyte infiltration into the central nervous system","Interferon-beta (IFN-beta) has beneficial effects on the clinical symptoms of multiple sclerosis (MS) patients, but its exact mechanism of action is yet unknown. We here suggest that IFN-beta directly modulates inflammatory events at the level of cerebral endothelium. IFN-beta treatment resulted in a marked reduction of perivascular infiltrates in acute experimental allergic encephalomyelitis (EAE), the rat model for MS, which was coupled to a major decrease in the expression of the adhesion molecules ICAM-1 and VCAM-1 on brain capillaries. In vitro, IFN-beta reduced the mRNA levels and protein expression of adhesion molecules of brain endothelial cell cultures and diminished monocyte transendothelial migration. Monocyte adhesion and subsequent migration was found to be predominantly regulated by VCAM-1. These data indicate that IFN-beta exerts direct antiinflammatory effects on brain endothelial cells thereby contributing to reduced lesion formation as observed in MS patients.","no",NA,"PH",1,NA,"EAE","rat","Lewis","female","9.5","Interferon Beta 1","control",1,NA,"1",0.2,7,0.3,2.5,7,0.8,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Marketed",NA,"","","","","","","","","","",NA,NA,"x","EAE","29","not reported","0","rats","18","mouse","14","female and male","histology","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported",NA,"HE.de_Vries.cell@med.vu.nl","14","24","78","74","551","78 - 551","1 - 870"
"10","rand","1010160165572899000223",367,"Schaub, M. and Issazadeh, S. and Stadlbauer, T. H. and Peach, R. and Sayegh, M. H. and Khoury, S. J.",1999,"J Neuroimmunol","Costimulatory signal blockade in murine relapsing experimental autoimmune encephalomyelitis","Blockade of the CD28-B7 or CD40L-CD40 T cell costimulatory signals prevents induction of experimental autoimmune encephalomyelitis (EAE). However, the effect of simultaneous blockade of these signals in EAE is unknown. We show that administration of either MR1 (to block CD40L) or CTLA4Ig (to block B7) after immunization or after the first attack protects from EAE. Treatment with a combination of CTLA4Ig and MR1 provides additive protection, and is associated with complete absence of mononuclear cell infiltrates in the central nervous system, and marked suppression of proliferation of primed T cells in the periphery. Selective B7-1 blockade did not protect from EAE. These observations have implications for therapy of autoimmune diseases.","no",NA,"PH",1,NA,"EAE","mouse","(PLxSJL)F1","female","11","Toralizumab","control Ig",1,NA,"1,2",1,5,NA,1.6,5,NA,"mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abatacept",3,"1,2",2.5,5,NA,1.2,5,NA,"mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Failed","Failed","","","","","","","","","","",NA,NA,NA,"EAE","13","not reported","0","mice","9","mouse","7","female","histology","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported",NA,"khoury@cnd.bwh.harvard.edu","11","20","36","59","328","36 - 328","1 - 570"
